epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,11899,0.80703,0.66023,1.22371,0.70307,0.65323,0.71712,0.45367,1.00596,0.7592,1.30512,0.000824492,0.000824492,0.000824492
114,12015.8,0.8704,0.74873,1.26111,0.73814,0.65924,0.7277,0.45723,0.9865,0.84967,1.30918,0.000809241,0.000809241,0.000809241
115,12149.5,0.83587,0.70941,1.24274,0.73648,0.59677,0.71494,0.45455,0.99311,0.8018,1.31457,0.000794038,0.000794038,0.000794038
116,12252.3,0.80525,0.70462,1.23277,0.63175,0.58106,0.7038,0.45547,0.98719,0.80274,1.27134,0.000778889,0.000778889,0.000778889
117,12352.3,0.81984,0.72957,1.24849,0.71848,0.65864,0.72811,0.45953,0.98335,0.79239,1.29537,0.000763797,0.000763797,0.000763797
118,12453.4,0.74643,0.66138,1.17737,0.69466,0.66935,0.75091,0.46847,0.99287,0.93468,1.30476,0.000748766,0.000748766,0.000748766
119,12553.4,0.83598,0.7146,1.22416,0.77448,0.65323,0.72642,0.44514,1.0053,0.83958,1.28201,0.000733799,0.000733799,0.000733799
120,12651,0.79707,0.6941,1.22125,0.78167,0.6352,0.76022,0.47014,0.9698,0.80372,1.27909,0.0007189,0.0007189,0.0007189
121,12750.3,0.74372,0.66189,1.19091,0.79048,0.6371,0.73965,0.46507,0.98083,0.73035,1.2743,0.000704073,0.000704073,0.000704073
122,12854.5,0.84449,0.73703,1.23072,0.71745,0.64516,0.74519,0.46071,0.99329,0.7374,1.30529,0.000689322,0.000689322,0.000689322
123,12960.6,0.81009,0.67833,1.21192,0.78041,0.66935,0.77402,0.47101,0.94293,0.67861,1.25279,0.000674649,0.000674649,0.000674649
124,13070.1,0.77852,0.68252,1.20407,0.77153,0.65362,0.76764,0.48136,1.00015,0.76208,1.31324,0.00066006,0.00066006,0.00066006
125,13175.9,0.84225,0.73039,1.21451,0.77912,0.62097,0.74771,0.46501,0.97432,0.73404,1.28154,0.000645557,0.000645557,0.000645557
126,13285.5,0.80119,0.68543,1.20664,0.6296,0.70161,0.75757,0.47608,0.94222,0.78016,1.23264,0.000631143,0.000631143,0.000631143
127,13386.3,0.80418,0.68865,1.22847,0.74952,0.6371,0.76853,0.47277,0.96955,0.71897,1.24855,0.000616824,0.000616824,0.000616824
128,13489.1,0.79425,0.67836,1.20095,0.72782,0.6371,0.763,0.4848,0.96655,0.67333,1.26735,0.000602601,0.000602601,0.000602601
129,13594.3,0.7882,0.69029,1.21196,0.77578,0.64176,0.75944,0.47032,0.9627,0.69175,1.25818,0.000588479,0.000588479,0.000588479
130,13706.3,0.73453,0.65308,1.18861,0.73049,0.69948,0.77238,0.47819,0.96499,0.68448,1.25885,0.00057446,0.00057446,0.00057446
131,13808.7,0.72484,0.64046,1.19058,0.81091,0.6129,0.76004,0.48241,0.93968,0.6574,1.25241,0.000560549,0.000560549,0.000560549
